food_name,energy_kcal,protein_g,carb_g,fat_g,fibre_g,iron_mg,calcium_mg,sodium_mg
Wheat Flour (Atta),341,12.1,69.4,1.7,1.9,4.9,48.0,3.0
White Rice,356,7.1,79.0,0.6,0.4,0.7,9.0,5.0
Brown Rice,353,7.9,76.0,2.2,2.1,1.5,23.0,7.0
Bengal Gram Dal (Chana Dal),372,21.5,59.8,5.3,1.2,5.3,56.0,35.0
Red Lentils (Masoor Dal),343,25.1,59.0,0.7,1.8,7.5,36.0,6.0
Split Green Gram (Moong Dal),348,24.5,59.9,1.2,8.2,3.9,75.0,28.0
Spinach (Palak),26,2.0,2.9,0.7,2.5,3.4,111.0,58.0
Potato (Aloo),97,1.6,22.6,0.1,1.7,0.48,10.0,11.0
Paneer,265,18.3,1.2,20.8,0.0,2.1,350.0,18.0
Milk (Whole Cow Milk),63,3.2,4.8,3.3,0.0,0.1,120.0,50.0
Curd (Dahi),60,3.1,4.0,3.2,0.0,0.1,122.0,48.0
Egg (Whole Hen Egg),155,12.6,1.1,10.6,0.0,1.8,56.0,140.0
Chicken Breast,165,31.0,0.0,3.6,0.0,1.0,15.0,74.0
Mutton (Goat Meat),143,20.6,0.0,6.8,0.0,2.8,12.0,82.0
Fish (Rohu),97,19.7,0.0,2.0,0.0,1.4,650.0,101.0
Butter,717,0.8,0.1,81.0,0.0,0.1,24.0,700.0
Ghee,884,0.0,0.0,99.8,0.0,0.0,0.0,2.0
Banana,89,1.1,22.8,0.3,2.6,0.3,5.0,1.0
Apple,52,0.3,13.8,0.2,2.4,0.1,6.0,1.0
Almonds (Badam),579,21.2,21.7,49.9,12.5,3.7,269.0,1.0
Cashew Nuts (Kaju),553,18.2,30.2,43.8,3.3,6.7,37.0,12.0
