food_name,calories,protein,carbs,fat,description,emoji,standard_portion_grams,portion_unit,fiber_g,sugar_g,sodium_mg,potassium_mg,vitamin_a_mcg,vitamin_c_mg,calcium_mg,iron_mg
Chicken Biryani,190,8.5,22,6.5,Spicy layered chicken rice,🍚,350.0,1 plate,3.3,1.8,755.3,294.1,192.5,6.8,83.6,0.6
Paneer Tikka,220,16.0,6,15.0,Grilled paneer chunks,🥘,120.0,6 pieces,7.6,4.9,765.4,421.6,211.8,11.1,384.6,4.1
Masala Dosa,170,3.5,30,4.5,Thin crepe with potato filling,🌯,150.0,1 piece,6.0,4.8,736.1,329.1,141.8,7.1,36.1,1.5
Dal Tadka,110,6.0,15,3.5,Yellow lentil curry,🍲,200.0,1 bowl,5.0,1.3,327.6,372.8,192.0,3.5,33.1,5.8
Butter Chicken,240,15.0,9,16.0,Creamy tomato-based chicken,🥘,250.0,1 bowl,1.7,2.5,61.6,570.7,179.5,4.8,195.3,1.3
Naan Bread,290,9.0,52,5.0,Tandoor baked flatbread,🫓,90.0,1 piece,1.7,1.5,746.2,293.1,271.3,18.4,33.1,2.8
Naan,290,9.0,52,5.0,Tandoor baked flatbread,🫓,90.0,1 piece,0.9,1.4,371.1,580.6,23.2,8.3,85.2,1.0
Palak Paneer,150,11.0,8,9.0,Cottage cheese in spinach gravy,🥘,220.0,1 bowl,7.0,0.2,775.0,552.7,91.5,14.6,166.6,6.0
Chole Bhature,270,8.0,42,9.5,Spiced chickpeas with fried bread,🥯,350.0,1 plate,5.0,3.0,772.7,197.9,285.6,20.1,73.2,3.3
Samosa,310,5.0,36,17.0,Fried pastry with savory filling,🥟,80.0,1 piece,5.8,2.5,689.8,134.7,268.2,27.6,61.8,3.8
Gulab Jamun,380,4.0,68,11.0,Syrup-soaked milk solids,🍮,40.0,1 piece,0.7,39.2,270.8,150.4,142.1,1.6,48.7,0.9
Idli,145,4.5,31,0.5,Steamed rice cakes,⚪,40.0,1 piece,7.8,0.3,338.8,109.1,189.8,32.0,90.2,4.6
Alu Paratha,210,5.0,35,6.0,Stuffed potato flatbread,🫓,120.0,1 piece,6.7,1.4,688.4,147.2,90.4,25.1,51.4,1.7
Tandoori Chicken,160,24.0,1,7.0,Spiced roasted chicken,🍗,200.0,1 piece,2.1,4.5,287.7,441.5,64.6,3.3,85.3,5.4
